Date,Close
16-Jan-2020,287.80
17-Jan-2020,290.55
20-Jan-2020,292.05
21-Jan-2020,294.65
22-Jan-2020,292.65
23-Jan-2020,294.30
24-Jan-2020,294.35
27-Jan-2020,290.10
28-Jan-2020,288.60
29-Jan-2020,297.45
30-Jan-2020,295.35
31-Jan-2020,294.35
01-Feb-2020,287.25
03-Feb-2020,298.50
04-Feb-2020,290.10
05-Feb-2020,295.25
06-Feb-2020,295.55
07-Feb-2020,308.90
10-Feb-2020,309.75
11-Feb-2020,305.85
12-Feb-2020,307.45
13-Feb-2020,307.05
14-Feb-2020,307.80
17-Feb-2020,303.15
18-Feb-2020,300.65
19-Feb-2020,306.10
20-Feb-2020,315.05
24-Feb-2020,314.25
25-Feb-2020,303.85
26-Feb-2020,298.75
27-Feb-2020,298.90
28-Feb-2020,286.90
02-Mar-2020,282.65
03-Mar-2020,304.00
04-Mar-2020,303.90
05-Mar-2020,312.95
06-Mar-2020,310.05
09-Mar-2020,301.00
11-Mar-2020,296.70
12-Mar-2020,274.55
13-Mar-2020,288.00
16-Mar-2020,268.20
17-Mar-2020,263.25
18-Mar-2020,252.40
19-Mar-2020,252.90
20-Mar-2020,274.50
23-Mar-2020,255.60
24-Mar-2020,271.00
25-Mar-2020,271.65
26-Mar-2020,282.50
27-Mar-2020,277.70
30-Mar-2020,275.60
31-Mar-2020,270.55
01-Apr-2020,278.40
03-Apr-2020,290.95
07-Apr-2020,318.30
08-Apr-2020,327.40
09-Apr-2020,333.75
13-Apr-2020,340.55
15-Apr-2020,336.85
16-Apr-2020,349.90
17-Apr-2020,355.25
20-Apr-2020,357.95
21-Apr-2020,357.00
22-Apr-2020,360.60
23-Apr-2020,347.70
24-Apr-2020,357.40
27-Apr-2020,363.15
28-Apr-2020,352.00
29-Apr-2020,352.15
30-Apr-2020,353.95
04-May-2020,357.95
05-May-2020,349.20
06-May-2020,353.25
07-May-2020,349.75
08-May-2020,359.25
11-May-2020,351.60
12-May-2020,343.45
13-May-2020,337.25
14-May-2020,335.15
15-May-2020,328.50
18-May-2020,331.75
19-May-2020,336.60
20-May-2020,346.85
21-May-2020,354.85
22-May-2020,350.30
26-May-2020,358.30
27-May-2020,350.85
28-May-2020,345.45
29-May-2020,354.70
01-Jun-2020,385.50
02-Jun-2020,382.70
03-Jun-2020,382.50
04-Jun-2020,393.65
05-Jun-2020,389.60
08-Jun-2020,381.25
09-Jun-2020,381.65
10-Jun-2020,389.95
11-Jun-2020,386.95
12-Jun-2020,384.80
15-Jun-2020,387.55
16-Jun-2020,385.10
17-Jun-2020,396.10
18-Jun-2020,393.85
19-Jun-2020,381.25
22-Jun-2020,387.55
23-Jun-2020,396.50
24-Jun-2020,389.90
25-Jun-2020,404.30
26-Jun-2020,401.80
29-Jun-2020,397.75
30-Jun-2020,390.10
01-Jul-2020,388.45
02-Jul-2020,391.95
03-Jul-2020,395.60
06-Jul-2020,401.85
07-Jul-2020,400.20
08-Jul-2020,401.75
09-Jul-2020,405.95
10-Jul-2020,414.30
13-Jul-2020,414.85
14-Jul-2020,437.60
15-Jul-2020,424.80
16-Jul-2020,426.45
17-Jul-2020,431.60
20-Jul-2020,428.00
21-Jul-2020,426.30
22-Jul-2020,430.70
23-Jul-2020,430.30
24-Jul-2020,415.15
27-Jul-2020,399.60
28-Jul-2020,399.00
29-Jul-2020,395.80
30-Jul-2020,403.45
31-Jul-2020,409.60
03-Aug-2020,411.90
04-Aug-2020,413.80
05-Aug-2020,408.20
06-Aug-2020,407.45
07-Aug-2020,399.45
10-Aug-2020,412.45
11-Aug-2020,407.55
12-Aug-2020,396.60
13-Aug-2020,393.25
14-Aug-2020,395.10
17-Aug-2020,391.25
18-Aug-2020,394.85
19-Aug-2020,396.35
20-Aug-2020,394.15
21-Aug-2020,394.05
24-Aug-2020,392.20
25-Aug-2020,387.40
26-Aug-2020,392.35
27-Aug-2020,391.35
28-Aug-2020,391.55
31-Aug-2020,376.15
01-Sep-2020,405.35
02-Sep-2020,411.25
03-Sep-2020,425.35
04-Sep-2020,420.95
07-Sep-2020,422.00
08-Sep-2020,415.80
09-Sep-2020,427.90
10-Sep-2020,430.65
11-Sep-2020,433.10
14-Sep-2020,430.00
15-Sep-2020,440.05
16-Sep-2020,438.65
17-Sep-2020,442.20
18-Sep-2020,454.00
21-Sep-2020,429.35
22-Sep-2020,422.05
23-Sep-2020,423.90
24-Sep-2020,408.25
25-Sep-2020,428.00
28-Sep-2020,450.40
29-Sep-2020,455.50
30-Sep-2020,447.70
01-Oct-2020,452.65
05-Oct-2020,458.35
06-Oct-2020,457.80
07-Oct-2020,452.15
08-Oct-2020,469.15
09-Oct-2020,451.90
12-Oct-2020,462.65
13-Oct-2020,451.50
14-Oct-2020,446.70
15-Oct-2020,433.45
16-Oct-2020,447.90
19-Oct-2020,437.90
20-Oct-2020,439.80
21-Oct-2020,439.60
22-Oct-2020,429.65
23-Oct-2020,417.20
26-Oct-2020,402.55
27-Oct-2020,413.60
28-Oct-2020,406.45
29-Oct-2020,403.20
30-Oct-2020,403.60
02-Nov-2020,404.15
03-Nov-2020,406.90
04-Nov-2020,410.50
05-Nov-2020,413.30
06-Nov-2020,414.80
09-Nov-2020,416.00
10-Nov-2020,406.15
11-Nov-2020,417.90
12-Nov-2020,422.70
13-Nov-2020,433.45
14-Nov-2020,434.35
17-Nov-2020,428.15
18-Nov-2020,423.00
19-Nov-2020,422.75
20-Nov-2020,419.95
23-Nov-2020,420.25
24-Nov-2020,433.55
25-Nov-2020,420.15
26-Nov-2020,425.75
27-Nov-2020,429.35
01-Dec-2020,433.30
02-Dec-2020,430.30
03-Dec-2020,433.90
04-Dec-2020,442.65
07-Dec-2020,450.60
08-Dec-2020,445.45
09-Dec-2020,450.95
10-Dec-2020,453.95
11-Dec-2020,455.50
14-Dec-2020,454.00
15-Dec-2020,455.30
16-Dec-2020,460.00
17-Dec-2020,460.90
18-Dec-2020,471.95
21-Dec-2020,450.00
22-Dec-2020,462.15
23-Dec-2020,483.60
24-Dec-2020,481.95
28-Dec-2020,465.80
29-Dec-2020,460.50
30-Dec-2020,458.70
31-Dec-2020,465.40
01-Jan-2021,465.75
04-Jan-2021,467.00
05-Jan-2021,467.65
06-Jan-2021,459.75
07-Jan-2021,454.80
08-Jan-2021,465.65
11-Jan-2021,471.25
12-Jan-2021,471.75
13-Jan-2021,462.80
14-Jan-2021,466.45