Table 1,,,,,,,
Date,Adj Close,Daily Returns,,,,,
2020-01-13,12329.549805,,,,,,
2020-01-14,12362.299805,0.002653,,,,,
2020-01-15,12343.299805,-0.001538,,,,,
2020-01-16,12355.500000,0.000988,,,,,
2020-01-17,12352.349609,-0.000255,,,,,
2020-01-20,12224.549805,-0.010400,,,CMP,14564.850000,
2020-01-21,12169.849609,-0.004485,,,Trading Days,5,
2020-01-22,12106.900391,-0.005186,,,,,
2020-01-23,12180.349609,0.006048,,,,,
2020-01-24,12248.250000,0.005559,,,Daily Average,Daily STDEV,
2020-01-27,12119.000000,-0.010609,,,0.067706%,2.005073%,
2020-01-28,12055.799805,-0.005229,,,,,
2020-01-29,12129.500000,0.006095,,,,,
2020-01-30,12035.799805,-0.007755,,,Average Over Trading Days,STDEV Over Trading Days,
2020-01-31,11962.099609,-0.006142,,,0.338530%,4.483479%,
2020-02-03,11707.900391,-0.021479,,,,,
2020-02-04,11979.650391,0.022946,,,,,
2020-02-05,12089.150391,0.009099,,STDEV,Upper Range,Lower Range,
2020-02-06,12137.950195,0.004029,,1,4.822009%,4.144949%,
2020-02-07,12098.349609,-0.003268,,2,9.305488%,8.628428%,
2020-02-10,12031.500000,-0.005541,,3,13.788967%,13.111907%,
2020-02-11,12107.900391,0.006330,,,,,
2020-02-12,12201.200195,0.007676,,,,,
2020-02-13,12174.650391,-0.002178,,Confidence Interval,Upper Range Value,Lower Range Value,
2020-02-14,12113.450195,-0.005040,,68%,15284.376790,13973.484940,
2020-02-17,12045.799805,-0.005600,,95%,15985.242810,13360.823569,
2020-02-18,11992.500000,-0.004435,,99.7%,16718.247084,12775.024069,
2020-02-19,12125.900391,0.011062,,,,,
2020-02-20,12080.849609,-0.003722,,,,,
2020-02-24,11829.400391,-0.021034,,,,,
2020-02-25,11797.900391,-0.002666,,,,,
2020-02-26,11678.500000,-0.010172,,,,,
2020-02-27,11633.299805,-0.003878,,,,,
2020-02-28,11201.750000,-0.037802,,,,,
2020-03-02,11132.750000,-0.006179,,,,,
2020-03-03,11303.299805,0.015203,,,,,
2020-03-04,11251.000000,-0.004638,,,,,
2020-03-05,11269.000000,0.001599,,,,,
2020-03-06,10989.450195,-0.025120,,,,,
2020-03-09,10451.450195,-0.050195,,,,,
2020-03-11,10458.400391,0.000665,,,,,
2020-03-12,9590.150391,-0.086669,,,,,
2020-03-13,9955.200195,0.037358,,,,,
2020-03-16,9197.400391,-0.079174,,,,,
2020-03-17,8967.049805,-0.025364,,,,,
2020-03-18,8468.799805,-0.057168,,,,,
2020-03-19,8263.450195,-0.024547,,,,,
2020-03-20,8745.450195,0.056691,,,,,
2020-03-23,7610.250000,-0.139038,,,,,
2020-03-24,7801.049805,0.024762,,,,,
2020-03-25,8317.849609,0.064145,,,,,
2020-03-26,8641.450195,0.038167,,,,,
2020-03-27,8660.250000,0.002173,,,,,
2020-03-30,8281.099609,-0.044768,,,,,
2020-03-31,8597.750000,0.037525,,,,,
2020-04-01,8253.799805,-0.040827,,,,,
2020-04-03,8083.799805,-0.020812,,,,,
2020-04-07,8792.200195,0.084003,,,,,
2020-04-08,8748.750000,-0.004954,,,,,
2020-04-09,9111.900391,0.040670,,,,,
2020-04-13,8993.849609,-0.013040,,,,,
2020-04-15,8925.299805,-0.007651,,,,,
2020-04-16,8992.799805,0.007534,,,,,
2020-04-17,9266.750000,0.030008,,,,,
2020-04-20,9261.849609,-0.000529,,,,,
2020-04-21,8981.450195,-0.030742,,,,,
2020-04-22,9187.299805,0.022661,,,,,
2020-04-23,9313.900391,0.013686,,,,,
2020-04-24,9154.400391,-0.017273,,,,,
2020-04-27,9282.299805,0.013875,,,,,
2020-04-28,9380.900391,0.010566,,,,,
2020-04-29,9553.349609,0.018216,,,,,
2020-04-30,9859.900391,0.031584,,,,,
2020-05-04,9293.500000,-0.059161,,,,,
2020-05-05,9205.599609,-0.009503,,,,,
2020-05-06,9270.900391,0.007069,,,,,
2020-05-07,9199.049805,-0.007780,,,,,
2020-05-08,9251.500000,0.005686,,,,,
2020-05-11,9239.200195,-0.001330,,,,,
2020-05-12,9196.549805,-0.004627,,,,,
2020-05-13,9383.549805,0.020130,,,,,
2020-05-14,9142.750000,-0.025997,,,,,
2020-05-15,9136.849609,-0.000646,,,,,
2020-05-18,8823.250000,-0.034925,,,,,
2020-05-19,8879.099609,0.006310,,,,,
2020-05-20,9066.549805,0.020892,,,,,
2020-05-21,9106.250000,0.004369,,,,,
2020-05-22,9039.250000,-0.007385,,,,,
2020-05-26,9029.049805,-0.001129,,,,,
2020-05-27,9314.950195,0.031174,,,,,
2020-05-28,9490.099609,0.018628,,,,,
2020-05-29,9580.299805,0.009460,,,,,
2020-06-01,9826.150391,0.025338,,,,,
2020-06-02,9979.099609,0.015446,,,,,
2020-06-03,10061.549805,0.008228,,,,,
2020-06-04,10029.099609,-0.003230,,,,,
2020-06-05,10142.150391,0.011209,,,,,
2020-06-08,10167.450195,0.002491,,,,,
2020-06-09,10046.650391,-0.011952,,,,,
2020-06-10,10116.150391,0.006894,,,,,
2020-06-11,9902.000000,-0.021396,,,,,
2020-06-12,9972.900391,0.007135,,,,,
2020-06-15,9813.700195,-0.016092,,,,,
2020-06-16,9914.000000,0.010169,,,,,
2020-06-17,9881.150391,-0.003319,,,,,
2020-06-18,10091.650391,0.021079,,,,,
2020-06-19,10244.400391,0.015023,,,,,
2020-06-22,10311.200195,0.006499,,,,,
2020-06-23,10471.000000,0.015379,,,,,
2020-06-24,10305.299805,-0.015951,,,,,
2020-06-25,10288.900391,-0.001593,,,,,
2020-06-26,10383.000000,0.009104,,,,,
2020-06-29,10312.400391,-0.006823,,,,,
2020-06-30,10302.099609,-0.000999,,,,,
2020-07-01,10430.049805,0.012343,,,,,
2020-07-02,10551.700195,0.011596,,,,,
2020-07-03,10607.349609,0.005260,,,,,
2020-07-06,10763.650391,0.014628,,,,,
2020-07-07,10799.650391,0.003339,,,,,
2020-07-08,10705.750000,-0.008733,,,,,
2020-07-09,10813.450195,0.010010,,,,,
2020-07-10,10768.049805,-0.004207,,,,,
2020-07-13,10802.700195,0.003213,,,,,
2020-07-14,10607.349609,-0.018249,,,,,
2020-07-15,10618.200195,0.001022,,,,,
2020-07-16,10739.950195,0.011401,,,,,
2020-07-17,10901.700195,0.014948,,,,,
2020-07-20,11022.200195,0.010993,,,,,
2020-07-21,11162.250000,0.012626,,,,,
2020-07-22,11132.599609,-0.002660,,,,,
2020-07-23,11215.450195,0.007415,,,,,
2020-07-24,11194.150391,-0.001901,,,,,
2020-07-27,11131.799805,-0.005585,,,,,
2020-07-28,11300.549805,0.015046,,,,,
2020-07-29,11202.849609,-0.008683,,,,,
2020-07-30,11102.150391,-0.009029,,,,,
2020-07-31,11073.450195,-0.002588,,,,,
2020-08-03,10891.599609,-0.016559,,,,,
2020-08-04,11095.250000,0.018525,,,,,
2020-08-05,11101.650391,0.000577,,,,,
2020-08-06,11200.150391,0.008833,,,,,
2020-08-07,11214.049805,0.001240,,,,,
2020-08-10,11270.150391,0.004990,,,,,
2020-08-11,11322.500000,0.004634,,,,,
2020-08-12,11308.400391,-0.001246,,,,,
2020-08-13,11300.450195,-0.000703,,,,,
2020-08-14,11178.400391,-0.010859,,,,,
2020-08-17,11247.099609,0.006127,,,,,
2020-08-18,11385.349609,0.012217,,,,,
2020-08-19,11408.400391,0.002023,,,,,
2020-08-20,11312.200195,-0.008468,,,,,
2020-08-21,11371.599609,0.005237,,,,,
2020-08-24,11466.450195,0.008306,,,,,
2020-08-25,11472.250000,0.000506,,,,,
2020-08-26,11549.599609,0.006720,,,,,
2020-08-27,11559.250000,0.000835,,,,,
2020-08-28,11647.599609,0.007614,,,,,
2020-08-31,11387.500000,-0.022584,,,,,
2020-09-01,11470.250000,0.007240,,,,,
2020-09-02,11535.000000,0.005629,,,,,
2020-09-03,11527.450195,-0.000655,,,,,
2020-09-04,11333.849609,-0.016937,,,,,
2020-09-07,11355.049805,0.001869,,,,,
2020-09-08,11317.349609,-0.003326,,,,,
2020-09-09,11278.000000,-0.003483,,,,,
2020-09-10,11449.250000,0.015070,,,,,
2020-09-11,11464.450195,0.001327,,,,,
2020-09-14,11440.049805,-0.002131,,,,,
2020-09-15,11521.799805,0.007121,,,,,
2020-09-16,11604.549805,0.007156,,,,,
2020-09-17,11516.099609,-0.007651,,,,,
2020-09-18,11504.950195,-0.000969,,,,,
2020-09-21,11250.549805,-0.022360,,,,,
2020-09-22,11153.650391,-0.008650,,,,,
2020-09-23,11131.849609,-0.001956,,,,,
2020-09-24,10805.549805,-0.029750,,,,,
2020-09-25,11050.250000,0.022393,,,,,
2020-09-28,11227.549805,0.015918,,,,,
2020-09-29,11222.400391,-0.000459,,,,,
2020-09-30,11247.549805,0.002238,,,,,
2020-10-01,11416.950195,0.014949,,,,,
2020-10-05,11503.349609,0.007539,,,,,
2020-10-06,11662.400391,0.013732,,,,,
2020-10-07,11738.849609,0.006534,,,,,
2020-10-08,11834.599609,0.008124,,,,,
2020-10-09,11914.200195,0.006704,,,,,
2020-10-12,11930.950195,0.001405,,,,,
2020-10-13,11934.500000,0.000297,,,,,
2020-10-14,11971.049805,0.003058,,,,,
2020-10-15,11680.349609,-0.024583,,,,,
2020-10-16,11762.450195,0.007004,,,,,
2020-10-19,11873.049805,0.009359,,,,,
2020-10-20,11896.799805,0.001998,,,,,
2020-10-21,11937.650391,0.003428,,,,,
2020-10-22,11896.450195,-0.003457,,,,,
2020-10-23,11930.349609,0.002845,,,,,
2020-10-26,11767.750000,-0.013723,,,,,
2020-10-27,11889.400391,0.010285,,,,,
2020-10-28,11729.599609,-0.013532,,,,,
2020-10-29,11670.799805,-0.005026,,,,,
2020-10-30,11642.400391,-0.002436,,,,,
2020-11-02,11669.150391,0.002295,,,,,
2020-11-03,11813.500000,0.012294,,,,,
2020-11-04,11908.500000,0.008009,,,,,
2020-11-05,12120.299805,0.017629,,,,,
2020-11-06,12263.549805,0.011750,,,,,
2020-11-09,12461.049805,0.015976,,,,,
2020-11-10,12631.099609,0.013554,,,,,
2020-11-11,12749.150391,0.009303,,,,,
2020-11-12,12690.799805,-0.004587,,,,,
2020-11-13,12719.950195,0.002294,,,,,
2020-11-17,12874.200195,0.012054,,,,,
2020-11-18,12938.250000,0.004963,,,,,
2020-11-19,12771.700195,-0.012956,,,,,
2020-11-20,12859.049805,0.006816,,,,,
2020-11-23,12926.450195,0.005228,,,,,
2020-11-24,13055.150391,0.009907,,,,,
2020-11-25,12858.400391,-0.015185,,,,,
2020-11-26,12987.000000,0.009952,,,,,
2020-11-27,12968.950195,-0.001391,,,,,
2020-12-01,13109.049805,0.010745,,,,,
2020-12-02,13113.750000,0.000358,,,,,
2020-12-03,13133.900391,0.001535,,,,,
2020-12-04,13258.549805,0.009446,,,,,
2020-12-07,13355.750000,0.007304,,,,,
2020-12-08,13392.950195,0.002781,,,,,
2020-12-09,13529.099609,0.010114,,,,,
2020-12-10,13478.299805,-0.003762,,,,,
2020-12-11,13513.849609,0.002634,,,,,
2020-12-14,13558.150391,0.003273,,,,,
2020-12-15,13567.849609,0.000715,,,,,
2020-12-16,13682.700195,0.008429,,,,,
2020-12-17,13740.700195,0.004230,,,,,
2020-12-18,13760.549805,0.001444,,,,,
2020-12-21,13328.400391,-0.031909,,,,,
2020-12-22,13466.299805,0.010293,,,,,
2020-12-23,13601.099609,0.009960,,,,,
2020-12-24,13749.250000,0.010834,,,,,
2020-12-28,13873.200195,0.008975,,,,,
2020-12-29,13932.599609,0.004272,,,,,
2020-12-30,13981.950195,0.003536,,,,,
2020-12-31,13981.750000,-0.000014,,,,,
2021-01-04,14132.900391,0.010753,,,,,
2021-01-05,14199.500000,0.004701,,,,,
2021-01-06,14146.250000,-0.003757,,,,,
2021-01-07,14137.349609,-0.000629,,,,,
2021-01-08,14347.250000,0.014738,,,,,
2021-01-11,14484.750000,0.009538,,,,,
2021-01-12,14563.450195,0.005419,,,,,
2021-01-13,14564.850000,0.000096,,,,,
2021-01-14,,,,,,,